cov,exp,Volatility,Ratio de Sharpe,lat_lon
33386529.00371816,471421.20055999997,5778.1077355582565,81.58747156251376,36.2516_-5.6719
33663815.70471395,469438.90637999994,5802.052714747941,80.90910742447362,36.4470_-5.9067
31726579.436278023,455898.44129999995,5632.635212427485,80.9387478695824,36.5728_-5.9615
18962505.488219194,278175.10375999997,4354.5959041246515,63.880807745332675,37.0448_-3.8969
26558116.283658504,378317.90232,5153.4567315209415,73.41051298753156,37.2983_-1.8924
32030980.530246545,502021.8310400001,5659.591904920932,88.70283219599268,37.3170_-7.3387
27056452.6489374,382382.02551999997,5201.581744905813,73.51264370582797,37.3419_-1.7672
22386368.754702087,365868.57056,4731.423544209722,77.32737666399512,37.3467_-5.6815
27214088.167675275,358034.06904,5216.712390737606,68.63212732902389,37.3695_-2.2924
21361469.912552867,344316.37118,4621.847023923755,74.49756978059602,37.4351_-5.3276
19082936.51155474,254115.98765999998,4368.402054705443,58.17138268815661,37.4600_-3.2775
17587706.0290607,286789.0367,4193.769906547175,68.3845425692703,37.5021_-4.4298
29889228.721033257,369750.46502,5467.104235427861,67.63186672460856,37.6571_-2.4870
29119604.882423963,472725.54304,5396.2584150894745,87.6024657600023,37.7390_-7.1274
26431563.53809986,386642.94321999996,5141.163636580716,75.20533687528147,37.8750_-1.0317
31356876.850175515,404410.50685999996,5599.721140394003,72.21975822023616,38.0666_-2.2003
27774753.49903418,428738.36893999996,5270.175850864389,81.35181464005235,38.2385_-6.0945
22903040.125064224,341165.2563,4785.712081296181,71.28829534759589,38.3250_-3.2432
27873429.923544932,439387.41099999996,5279.529327842107,83.22473154620964,38.3456_-6.8429
26799835.237978473,396520.85406000004,5176.855728912916,76.59492070551967,38.4885_-5.0687
26621995.744421884,394021.14923999994,5159.650738608369,76.36585676073747,38.5084_-4.8738
35822826.74950559,444567.92511999997,5985.217351901732,74.27765759897487,38.5089_-1.1831
29028270.729589712,444186.48308,5387.789039076207,82.4431839959644,38.7432_-6.7377
31950033.82232495,463441.66416,5652.436096261943,81.98972200083469,38.7469_-2.7141
35710745.644882806,511173.37956000003,5975.846855875978,85.53990620716283,39.0844_-2.6869
36375949.07113029,517071.3868999999,6031.247720922288,85.73207582011409,39.2758_-2.2446
35773334.05934015,437160.34852,5981.081345320439,73.09052047286258,39.2985_-0.8983
27498059.435394935,412944.16281999997,5243.85921201122,78.74814065834161,39.3290_-5.2778
32162910.614365507,464430.33136,5671.235369332286,81.89226881173875,39.3666_-3.6687
28838478.3672178,442494.5799799999,5370.146959554999,82.3989703284894,39.3969_-6.5483
32347911.728831194,469353.14162,5687.522459633122,82.52330341571539,39.4029_-3.5670
34750091.979042396,501469.12393999996,5894.920862831188,85.06799931817176,39.8549_-1.9394
21565359.27289642,347225.00373999996,4643.85177120205,74.7709058874895,40.0174_-5.7250
33590410.48749797,485673.46786000003,5795.723465409471,83.79859231701403,40.0274_-2.9631
33622240.99969435,495875.76012000005,5798.468849592481,85.51839683589064,40.2523_-1.9654
29062753.584596027,458633.0144,5390.988182568761,85.07401590731463,40.2980_-6.6031
41956194.65459002,495993.23096,6477.360160944428,76.57335992378754,40.3220_-0.1269
25037912.345072392,379104.58272,5003.789798250162,75.76349087497118,40.3617_-4.5602
33044768.17176781,491788.03034,5748.457895102634,85.5512972894828,40.3690_-2.3187
43521977.77818885,530387.71968,6597.118899806858,80.39687138207074,40.3994_-0.3274
44928929.95400414,524899.17154,6702.904590847474,78.30921124205275,40.4145_-0.0179
44360387.23698208,544766.3054399999,6660.359392478913,81.79232881264143,40.4468_-0.3921
47398819.44149119,558371.1273599999,6884.6800536765095,81.10342427050367,40.5180_-0.0604
28543099.08112998,432966.35384,5342.574199871255,81.04077503508208,40.5403_-6.2422
43323690.717492215,571487.15506,6582.073436045227,86.8247917032315,40.6665_-0.7917
46151826.67971233,581902.3666,6793.51357396983,85.65558311823051,40.7052_-0.1710
27886672.49299726,403873.9121,5280.783321913262,76.47992494296734,40.7204_-5.4294
36004276.674267076,505140.22452000005,6000.356378938427,84.18503712430638,40.8661_-2.0247
35356979.53402178,498727.09584,5946.173520342455,83.87361958641212,40.9477_-6.3431
41947465.32322512,551276.2744,6476.686291864468,85.11702583039606,40.9946_-1.1914
42917598.58945209,583552.9454,6551.15246269327,89.07637987715115,41.0340_-0.9495
34691714.354010396,468043.87564,5889.96726255846,79.4645971320209,41.1262_-5.0542
44316619.19517275,606856.4702600001,6657.0728699010615,91.1596556203867,41.1293_-0.7152
36469474.39529941,491240.74413999997,6038.996141354904,81.34476867371961,41.2697_-5.3511
27826363.196909714,377644.16456,5275.069970806995,71.59036119898651,41.3479_1.0205
27258268.375158902,370885.35104,5220.945161094771,71.03797101792,41.3913_1.0450
41111172.00340628,566151.7248,6411.7994356815525,88.2984145838024,41.4041_-1.0638
22865008.770385504,312685.1793,4781.737003473268,65.39154685271852,41.4105_1.7508
35699661.50696635,507031.69794,5974.919372423895,84.86000669399967,41.4576_-2.5693
25482849.76545003,344399.63499999995,5048.054057302678,68.22423672380852,41.5104_1.2845
38457325.95981467,517240.49814,6201.39709741399,83.40709198507729,41.5629_-5.7467
39976438.39075734,543170.45572,6322.692337189699,85.90809527851034,41.5727_-1.7437
32910806.21558589,473942.63908000005,5736.7940712200825,82.61454624241088,41.5824_-3.7648
33856282.11251044,487814.88504,5818.615136998704,83.83693947003677,41.5865_-2.6710
23104888.57403009,333206.22428,4806.754474073966,69.32041694186869,41.6591_0.8423
16566704.980975073,255747.87981999997,4070.2217360943705,62.833893680054366,41.8617_2.1420
36368294.05085401,522218.15452,6030.613074211777,86.59453824904126,41.9140_-1.4112
37370499.75779667,513717.3184,6113.141562060923,84.03491284877272,42.0801_-4.5150
33956656.01991617,441916.12702,5827.233993921659,75.83634490754261,42.1524_2.9923
23830556.442811165,380797.5053400001,4881.6550925696465,78.00581936229187,42.2329_-6.7792
34715169.82206813,484805.52012,5891.958063502161,82.28258159594455,42.2445_-5.1985
36966636.01827646,512059.71334,6080.019409366755,84.22007873052694,42.3042_-4.5545
33831196.92759177,457721.3334,5816.459140025981,78.69415436105952,42.4306_-2.9631
22577211.162906144,386617.88948,4751.5482911263925,81.36671791845541,42.4587_-8.3965
18864953.01977072,254650.52052,4343.380367843774,58.62956935692431,42.5276_0.2985
23818543.238294844,403604.92244,4880.424493657784,82.69873306399745,42.5911_-8.4577
24275414.130665913,368186.43648000003,4927.008639191321,74.72818974809655,42.5954_-6.3826
25631125.40965352,396166.7602,5062.719171517764,78.25177474365664,42.6341_-2.2924
19795836.73256054,315490.33514,4449.251255274368,70.90863541725177,42.7018_-0.5563
22080827.174754087,386216.60306,4699.0240662029055,82.19081188321861,42.7752_-7.9490
21196187.93358641,348999.66494,4603.9317907182785,75.80469928846428,42.8177_-1.0298
28190505.969387714,399629.38194,5309.473228992469,75.26723738954308,42.8466_-4.9753
36199415.8404469,472209.46016,6016.595037099214,78.4845011585933,42.8948_-3.6470
24359748.277878616,379794.93624,4935.559570897571,76.9507349236454,42.9692_-1.9821
21445028.47071768,371553.77656,4630.877721417149,80.23398563119402,43.0159_-7.0531
34624229.08552827,431935.91919999995,5884.235641570473,73.40561213226981,43.0932_-4.2335
24355547.40580008,380221.17234000005,4935.133980531844,77.0437385975537,43.1742_-6.5667
